_id,CODIGO,CAMINO,ETAPA,COORD_X,COORD_Y,TIPO_SENAL
237,237,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),598413,4725852,Señal Cruce Carretera
238,238,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),598289,4725863,Mojón
239,239,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),607408,4737233,Mojón
240,240,Aragonés,A1 (Huesca-Sangüesa/Zangoza),647545,4715178,Otros
241,241,Aragonés,A1 (Huesca-Sangüesa/Zangoza),647423,4714980,Mojón
242,242,Aragonés,A1 (Huesca-Sangüesa/Zangoza),647132,4714721,Mojón
243,243,Aragonés,A1 (Huesca-Sangüesa/Zangoza),646647,4714622,Mojón
244,244,Aragonés,A1 (Huesca-Sangüesa/Zangoza),645675,4714320,Mojón
245,245,Aragonés,A1 (Huesca-Sangüesa/Zangoza),645193,4714306,Flecha Direccional
246,246,Aragonés,A1 (Huesca-Sangüesa/Zangoza),643713,4714403,Mojón
247,247,Aragonés,A1 (Huesca-Sangüesa/Zangoza),643511,4714470,Mojón
248,248,Aragonés,A1 (Huesca-Sangüesa/Zangoza),643391,4714457,Mojón
249,249,Aragonés,A1 (Huesca-Sangüesa/Zangoza),643179,4714315,Mojón
250,250,Aragonés,A1 (Huesca-Sangüesa/Zangoza),643103,4714346,Mojón
251,251,Aragonés,A1 (Huesca-Sangüesa/Zangoza),642460,4714609,Mojón
252,252,Aragonés,A1 (Huesca-Sangüesa/Zangoza),642204,4714659,Mojón
253,253,Aragonés,A1 (Huesca-Sangüesa/Zangoza),642013,4714720,Mojón
254,254,Aragonés,A1 (Huesca-Sangüesa/Zangoza),641842,4714713,Mojón
255,255,Aragonés,A1 (Huesca-Sangüesa/Zangoza),641780,4714749,Mojón
256,256,Aragonés,A1 (Huesca-Sangüesa/Zangoza),641297,4714828,Señal Cruce Carretera
257,257,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640752,4715891,Otros
258,258,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640793,4716104,Mojón
259,259,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640673,4716311,Mojón
260,260,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640614,4716942,Mojón
261,261,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640669,4717066,Mojón
262,262,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640531,4717190,Mojón
263,263,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640280,4717163,Mojón
264,264,Aragonés,A2 (Sangüesa/Zangoza-Monreal),640164,4717445,Mojón
265,265,Aragonés,A2 (Sangüesa/Zangoza-Monreal),639976,4717393,Mojón
266,266,Aragonés,A2 (Sangüesa/Zangoza-Monreal),639406,4717477,Mojón
267,267,Aragonés,A2 (Sangüesa/Zangoza-Monreal),638913,4717789,Flecha Direccional
268,268,Aragonés,A2 (Sangüesa/Zangoza-Monreal),638579,4717963,Mojón
269,269,Aragonés,A2 (Sangüesa/Zangoza-Monreal),638355,4718203,Mojón
270,270,Aragonés,A2 (Sangüesa/Zangoza-Monreal),637724,4718598,Mojón
271,271,Aragonés,A2 (Sangüesa/Zangoza-Monreal),637580,4718677,Mojón
272,272,Aragonés,A2 (Sangüesa/Zangoza-Monreal),637386,4718770,Mojón
273,273,Aragonés,A2 (Sangüesa/Zangoza-Monreal),636592,4719257,Mojón
274,274,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635831,4719747,Mojón
275,275,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635840,4719702,Mojón
276,276,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635717,4719831,Mojón
277,277,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635577,4720000,Flecha Direccional
278,278,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635418,4720253,Mojón
279,279,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635395,4720434,Mojón
280,280,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635346,4720473,Mojón
281,281,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635341,4720552,Mojón
282,282,Aragonés,A2 (Sangüesa/Zangoza-Monreal),635191,4720970,Mojón
283,283,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634933,4721173,Mojón
284,284,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634788,4721426,Mojón
285,285,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634672,4721508,Mojón
286,286,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634583,4721644,Mojón
287,287,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634521,4721865,Mojón
288,288,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634088,4722667,Mojón
289,289,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634048,4722747,Mojón
290,290,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634151,4722893,Mojón
291,291,Aragonés,A2 (Sangüesa/Zangoza-Monreal),634131,4722883,Mojón
292,292,Aragonés,A2 (Sangüesa/Zangoza-Monreal),632613,4723381,Mojón
293,293,Aragonés,A2 (Sangüesa/Zangoza-Monreal),632237,4723448,Mojón
294,294,Aragonés,A2 (Sangüesa/Zangoza-Monreal),631447,4723491,Mojón
295,295,Aragonés,A2 (Sangüesa/Zangoza-Monreal),632237,4723448,Mojón
296,296,Aragonés,A2 (Sangüesa/Zangoza-Monreal),630581,4723691,Flecha Direccional
297,297,Aragonés,A2 (Sangüesa/Zangoza-Monreal),629793,4723993,Mojón
298,298,Aragonés,A2 (Sangüesa/Zangoza-Monreal),629064,4724105,Mojón
299,299,Aragonés,A2 (Sangüesa/Zangoza-Monreal),629038,4724126,Otros
300,300,Aragonés,A2 (Sangüesa/Zangoza-Monreal),624112,4727661,Mojón
301,301,Aragonés,A2 (Sangüesa/Zangoza-Monreal),624052,4727872,Mojón
302,302,Aragonés,A2 (Sangüesa/Zangoza-Monreal),623791,4728049,Mojón
303,303,Aragonés,A2 (Sangüesa/Zangoza-Monreal),623008,4728570,Mojón
304,304,Aragonés,A2 (Sangüesa/Zangoza-Monreal),622609,4728868,Mojón
305,305,Aragonés,A2 (Sangüesa/Zangoza-Monreal),622627,4728923,Mojón
306,306,Aragonés,A2 (Sangüesa/Zangoza-Monreal),622441,4728935,Otros
307,307,Aragonés,A2 (Sangüesa/Zangoza-Monreal),628755,4724221,Mojón
